Sponsor Seniority (Years),Sponsor Party Majority (1/0),Is Committee Chair (1/0),Majority Party in House (1/0),Margin of Majority (Seats),Pre-committed Cosponsors,Proportion of Majority Cosponsors,Historical Passage Rate (%),Sponsor's Past Success Rate (%),Majority Party Approval Rating (%),Passed
39,1,0,0,27,77,0.9271237818644493,95.62918815133614,44.90377603699617,67.46280872283356,1
29,0,1,1,46,57,0.9699265253451909,37.66764404294625,45.930368821307376,42.33408486704795,0
15,0,0,1,23,32,0.5712604699370973,33.92406611738363,7.696918300801736,64.78164675436872,0
8,1,1,0,30,13,0.1430011226657264,6.2431327277780335,67.07650254430358,60.563823463155174,1
21,0,1,1,45,33,0.37454824337958126,48.6173654104883,82.12594203728455,39.91249771627628,0
39,0,1,1,47,60,0.797732263348214,10.90136156409287,24.465505460471306,31.453629932649697,0
19,1,1,1,23,3,0.36739072869707046,24.853982092742598,42.13008816333647,34.07389060569531,0
23,0,0,0,49,87,0.08701721830278875,31.694262176728138,83.88393367652704,59.13975735389761,1
11,0,1,0,47,58,0.5567849109281879,80.8826323491684,87.7120467662288,37.986789521625866,0
11,1,0,1,20,28,0.8451208514960348,87.54886503958966,24.317998026422593,44.85083682021575,1
24,1,1,0,18,82,0.7959263871435024,30.246631746146967,55.057063454136426,50.067966640257,1
36,0,1,1,18,5,0.17512314013035324,85.86981212445738,19.249315063582706,59.018726738006514,1
24,0,0,1,2,96,0.6727646144124667,85.72309373697911,10.187876413955655,34.529248930365014,0
3,1,0,1,4,48,0.2205042634356471,76.46509503848735,91.11205013919576,46.254656211098464,1
22,1,0,1,30,39,0.21820753455217223,14.669511401518154,82.05075042321091,49.40291636570782,1
2,0,1,1,33,82,0.8740717733051852,69.0322846900729,76.00349018031739,51.63308255886159,0
24,1,1,0,36,64,0.24966895274023015,94.50240645805688,4.876631881314042,62.734425655808664,1
30,0,0,1,18,68,0.2632473465180112,68.2540478767157,84.37287927102575,36.86712780172868,1
38,0,0,0,37,26,0.0006533907612995549,33.16168491078339,43.804407590538375,62.313258073064894,0
2,0,0,0,19,79,0.8706690341255177,50.05793174308313,34.23951232958596,57.715137107866084,0
21,0,0,1,47,5,0.7925948132091347,64.57250433510536,54.647636102537646,52.23483256795838,1
33,0,1,1,28,12,0.627328935090678,51.05704087285036,9.135324272355582,57.981114816102874,0
12,1,0,0,40,63,0.7502657639388423,11.995294173096982,75.66465493523988,46.48070955806625,0
22,1,0,0,20,61,0.1520485674244918,31.206404465202063,58.24350768882959,35.535903438724986,0
25,1,0,0,49,98,0.45832359458757543,80.23960305536325,18.659009687316754,56.63060961061469,1
27,1,0,1,33,18,0.3512193873487809,86.14180460955174,18.82321997690456,50.98689226742489,1
28,0,1,0,12,75,0.09377652625701649,13.730003271557024,18.424865157267423,55.57499202171102,0
16,0,0,1,15,79,0.4861304852149241,95.23867523987246,5.700238755193398,43.5199512411396,1
15,0,1,1,41,42,0.9207396503426354,32.88226178486093,58.77984493716848,66.27466309359343,0
3,0,0,1,39,73,0.04005911905069448,66.231373873072,84.0348177588508,53.49479474302308,0
37,1,0,0,2,88,0.2914609134937939,75.18251459566811,1.74982139873886,33.41609937163496,0
7,0,1,1,29,19,0.20754093620570346,81.19462346378835,4.900464497127355,47.99215962817715,0
21,0,0,1,41,94,0.23814665366569632,94.57497022259301,57.27702766869458,60.25424218974537,0
9,1,1,1,10,67,0.9084345518793753,31.29195480288226,81.94956853860523,61.7653824692909,1
39,1,1,1,2,43,0.4680690542342901,85.85064545515544,32.67388905686336,49.78388211055035,1
18,1,0,1,11,22,0.4662994129398188,13.168690343620703,34.96143988077222,65.78990283325204,1
4,1,1,0,13,1,0.7605756424552823,70.50409063535928,59.63464974967759,40.7067374877719,1
25,0,1,1,10,21,0.1544922040049258,74.19777295139859,27.4212889124147,46.423947889530666,0
14,0,1,1,14,56,0.4872653541000508,67.77232412013204,2.660836607768413,65.9438764227588,0
9,1,1,0,18,71,0.4299852141210597,25.2314736135153,73.52285181015961,65.85026865886316,1
26,0,1,1,9,6,0.5969106905466561,87.30431470152034,62.56499129414531,57.428510752987236,1
2,0,1,0,39,77,0.9995577032504386,16.8858463370395,58.07559990556591,64.3592218848888,0
20,0,1,1,28,55,0.7694488940820471,5.363479152083084,74.16841289918231,33.55093067824931,0
28,1,1,0,3,66,0.3978657030174272,71.74649906119122,67.52308375620375,64.59979904831106,0
7,0,0,0,20,15,0.827553052274047,47.54757152327337,20.588198817832115,42.82479626200907,1
8,1,0,1,6,82,0.17070836331248018,84.90980199586761,35.24810469433511,37.13326049712865,0
35,0,1,1,27,50,0.030463686308960125,38.3397141058259,12.6110141678625,39.57479345368185,0
14,0,0,1,2,81,0.20444837246427305,16.827858850771282,12.985701341788102,46.71874032055548,1
17,0,1,0,29,79,0.34041155611425966,83.64421924698698,67.61957463565392,40.04768018417869,1
36,1,1,0,38,71,0.5105807574595599,54.89096316400717,85.86001069824982,42.822703440659964,1
4,0,0,0,3,96,0.6151291405411998,18.91957923903549,96.27325838611391,35.39913944286568,0
